Voltage (mV), Current (mA)
2.83e+01,5.50e+00
6.71e+01,1.34e+01
6.14e+01,1.23e+01
5.01e+01,1.01e+01
6.97e+01,1.42e+01
5.91e+01,1.17e+01
4.96e+01,9.76e+00
4.25e+01,8.42e+00
7.05e+01,1.41e+01
3.89e+01,8.10e+00
5.49e+01,1.10e+01
4.86e+01,9.65e+00
5.40e+01,1.07e+01
5.54e+01,1.10e+01
3.13e+01,6.09e+00
3.66e+01,7.45e+00
6.14e+01,1.21e+01
4.84e+01,9.40e+00
5.94e+01,1.19e+01
4.10e+01,8.04e+00
3.57e+01,7.28e+00
5.11e+01,1.02e+01
7.12e+01,1.41e+01
6.34e+01,1.28e+01
5.63e+01,1.11e+01
3.67e+01,7.11e+00
2.56e+01,5.31e+00
6.41e+01,1.31e+01
5.88e+01,1.15e+01
3.10e+01,6.04e+00
3.98e+01,7.83e+00
4.18e+01,8.55e+00
3.22e+01,6.31e+00
4.87e+01,9.63e+00
5.60e+01,1.13e+01
5.53e+01,1.10e+01
6.19e+01,1.22e+01
9.47e+01,1.87e+01
4.83e+01,9.89e+00
6.63e+01,1.30e+01
4.42e+01,8.73e+00
7.76e+01,1.54e+01
4.66e+01,9.38e+00
7.33e+01,1.45e+01
7.03e+01,1.40e+01
4.23e+01,8.24e+00
4.82e+01,9.58e+00
3.43e+01,6.79e+00
2.70e+01,5.33e+00
7.94e+01,1.57e+01
4.73e+01,9.69e+00
4.78e+01,9.55e+00
4.91e+01,9.97e+00
3.09e+01,6.14e+00
3.58e+01,7.08e+00
6.75e+01,1.36e+01
5.68e+01,1.14e+01
6.17e+01,1.20e+01
3.39e+01,6.77e+00
8.34e+01,1.68e+01
6.57e+01,1.29e+01
5.73e+01,1.14e+01
3.96e+01,7.91e+00
6.01e+01,1.20e+01
3.12e+01,6.07e+00
3.79e+01,7.67e+00
3.93e+01,7.56e+00
6.05e+01,1.22e+01
4.54e+01,9.02e+00
8.41e+01,1.67e+01
3.87e+01,7.67e+00
2.95e+01,5.95e+00
6.66e+01,1.34e+01
3.63e+01,7.39e+00
4.23e+01,8.46e+00
4.98e+01,1.01e+01
4.57e+01,9.05e+00
4.81e+01,9.68e+00
6.27e+01,1.26e+01
5.84e+01,1.12e+01
4.27e+01,8.58e+00
3.05e+01,6.22e+00
3.96e+01,7.90e+00
5.79e+01,1.15e+01
6.72e+01,1.34e+01
6.25e+01,1.25e+01
3.53e+01,6.91e+00
2.82e+01,5.58e+00
9.33e+01,1.86e+01
2.64e+01,5.36e+00
4.10e+01,7.99e+00
5.78e+01,1.12e+01
6.08e+01,1.22e+01
6.12e+01,1.24e+01
3.13e+01,6.12e+00
1.90e+01,3.71e+00
8.02e+01,1.61e+01
4.65e+01,9.49e+00
5.99e+01,1.21e+01
5.43e+01,1.07e+01
