Polarization of Light 'theta' Data File Tue, Oct 23, 2018 10:06 AM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	0.28329
0.00000	0.29859
0.00000	0.31406
0.00000	0.29086
0.00000	0.31792
0.00000	0.31776
0.00000	0.29779
0.00000	0.31196
0.00000	0.27363
0.00000	0.30536
0.00000	0.31341
0.00436	0.31502
0.00436	0.31084
0.00436	0.30761
0.01309	0.31502
0.01745	0.31470
0.02618	0.31438
0.03927	0.30455
0.04800	0.31535
0.05672	0.31406
0.06109	0.30294
0.06109	0.31116
0.06545	0.31132
0.06981	0.30939
0.07418	0.30488
0.07854	0.30584
0.08727	0.30423
0.09163	0.30327
0.09163	0.30584
0.10472	0.29086
0.11345	0.29908
0.11781	0.29296
0.12654	0.29296
0.13526	0.29070
0.14399	0.28555
0.15272	0.28587
0.15708	0.28490
0.16581	0.27991
0.17890	0.28120
0.18762	0.27073
0.18762	0.27169
0.18762	0.27282
0.18762	0.27282
0.18762	0.27347
0.18762	0.27234
0.19199	0.26960
0.20508	0.25881
0.21380	0.25623
0.22689	0.25075
0.23998	0.24205
0.24871	0.23980
0.26616	0.23191
0.27925	0.22095
0.29671	0.21338
0.30543	0.20710
0.31416	0.20227
0.31852	0.20033
0.32725	0.20050
0.33598	0.19405
0.34034	0.18938
0.34470	0.18407
0.34907	0.18584
0.35343	0.18020
0.36216	0.17875
0.37525	0.17118
0.38397	0.16586
0.39706	0.15926
0.41015	0.14492
0.42761	0.13896
0.42761	0.13912
0.42761	0.13735
0.42761	0.14073
0.43633	0.13461
0.45379	0.12398
0.47560	0.11335
0.48433	0.10852
0.48869	0.10369
0.48869	0.10530
0.48869	0.10642
0.49742	0.10111
0.50615	0.09724
0.51051	0.09128
0.52360	0.08774
0.52796	0.08258
0.54105	0.08194
0.55414	0.07453
0.56287	0.06793
0.57160	0.06599
0.57160	0.06583
0.57160	0.06422
0.57160	0.06084
0.57160	0.06277
0.57160	0.06696
0.57160	0.06374
0.57160	0.06583
0.57596	0.06519
0.58905	0.06148
0.59778	0.05874
0.60214	0.05472
0.61087	0.05294
0.62396	0.04924
0.63268	0.04280
0.64577	0.04086
0.65450	0.03925
0.65450	0.03845
0.65450	0.03845
0.65450	0.03909
0.65886	0.03845
0.67195	0.03394
0.67632	0.03410
0.68941	0.03152
0.70250	0.03216
0.71558	0.03136
0.72431	0.02846
0.73740	0.02733
0.73740	0.02798
0.74176	0.02717
0.75049	0.02637
0.75485	0.02588
0.75922	0.02669
0.75922	0.02637
0.76794	0.02846
0.77231	0.02765
0.78103	0.02733
0.78540	0.02798
0.79412	0.02846
0.79849	0.02927
0.80721	0.03281
0.82030	0.03152
0.83339	0.03216
0.84212	0.03603
0.85085	0.03829
0.85957	0.03796
0.85957	0.04070
0.86394	0.03812
0.85957	0.03732
0.86830	0.04328
0.88139	0.04537
0.89012	0.04940
0.90321	0.05391
0.91630	0.05617
0.93375	0.06567
0.95557	0.07389
0.97738	0.07888
0.99047	0.08774
1.00793	0.09595
1.01229	0.09869
1.01229	0.09547
1.01229	0.09982
1.01229	0.09756
1.01229	0.10159
1.01229	0.10143
1.01229	0.10095
1.01665	0.10369
1.02538	0.10707
1.02974	0.10916
1.03847	0.11174
1.04283	0.11351
1.04720	0.11834
1.05156	0.12269
1.06465	0.12801
1.07774	0.13816
1.08647	0.14138
1.09519	0.14234
1.10392	0.15024
1.11265	0.15620
1.12574	0.16457
1.14319	0.16973
1.15628	0.18213
1.17373	0.19003
1.18682	0.20291
1.19991	0.20710
1.21737	0.22192
1.23482	0.22868
1.24791	0.23915
1.26100	0.24350
1.26973	0.25317
1.27409	0.25414
1.28282	0.25397
1.29154	0.26219
1.30027	0.26976
1.31772	0.27105
1.32645	0.27653
1.33954	0.28587
1.34827	0.29022
1.35263	0.28990
1.35699	0.28909
1.36572	0.29489
1.38317	0.30584
1.39190	0.31132
1.39626	0.31535
1.40935	0.31664
1.41808	0.31953
1.42681	0.31841
1.44426	0.32227
1.45299	0.32711
1.45299	0.33162
1.46608	0.33661
1.47044	0.33983
1.48353	0.33838
1.49226	0.33758
1.49662	0.33983
1.50535	0.33983
1.51407	0.34096
1.53153	0.34321
1.54462	0.34499
1.55334	0.34499
1.57080	0.34225
1.57952	0.32839
1.59261	0.34112
1.60570	0.34048
1.61443	0.34160
1.61879	0.33033
1.63188	0.33145
1.64061	0.33371
1.64934	0.33597
1.66243	0.33081
1.67552	0.32856
1.67552	0.32775
1.67552	0.32936
1.67552	0.32582
1.67552	0.32517
1.67552	0.31937
1.67552	0.32340
1.67552	0.33242
1.67988	0.32050
1.70170	0.31438
1.72788	0.30584
1.74533	0.28828
1.77151	0.27846
1.78896	0.27894
1.80642	0.27363
1.81951	0.26767
1.83696	0.25736
1.85878	0.24479
1.86750	0.23932
1.88496	0.22611
1.90241	0.21354
1.91550	0.20807
1.93295	0.20291
1.95477	0.18954
1.98095	0.17408
1.99404	0.16554
2.00277	0.15426
2.01149	0.15201
2.01149	0.15233
2.01149	0.14943
2.01149	0.15426
2.01149	0.14895
2.01149	0.15346
2.01149	0.15749
2.01149	0.15475
2.01149	0.15426
2.02022	0.14460
2.02458	0.14605
2.02458	0.15008
2.02458	0.14718
2.03331	0.14041
2.04204	0.13558
2.05076	0.13204
2.06385	0.12591
2.07258	0.11786
2.08131	0.10965
2.09003	0.11287
2.09003	0.10803
2.09003	0.10965
2.08567	0.10642
2.08567	0.10691
