Polarization of Light 'Brewsters' Data File Thu, Oct 25, 2018 10:06 AM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	-0.00070
180.00000	-0.00263
180.00000	0.00059
180.00000	0.00043
180.00000	0.00043
180.00000	0.00092
180.00000	-0.00247
180.00000	-0.00215
180.00000	-0.00005
180.00000	0.00043
180.00000	-0.00005
180.00000	-0.00053
180.00000	0.00140
180.00000	0.00027
180.00000	0.00059
180.00000	0.00027
180.00000	0.00108
180.00000	0.00156
180.00000	0.00027
180.00000	0.00204
180.00000	-0.00102
180.00000	0.00075
180.00000	0.00398
180.00000	0.03168
180.00000	0.04199
180.00000	0.06213
180.00000	0.09595
180.00000	0.00092
180.00000	0.00011
180.00000	0.00059
180.00000	0.00124
180.00000	-0.00118
180.00000	0.00027
180.00000	0.00108
180.00000	0.00140
180.00000	0.00043
180.00000	-0.00037
180.00000	0.00092
180.00000	-0.00005
180.00000	0.00043
180.00000	0.09644
180.00000	0.00172
180.00000	-0.00118
180.00000	-0.00021
180.00000	-0.00021
180.00000	0.00108
180.00000	-0.00053
180.00000	0.00301
180.00000	-0.00053
180.00000	0.00092
180.00000	0.00059
180.00000	-0.00021
180.00000	0.00156
180.00000	-0.00037
180.00000	0.01139
180.00000	0.09595
180.00000	0.08645
180.00000	0.03619
180.00000	0.00043
180.00000	0.00108
180.00000	-0.00118
180.00000	-0.00053
180.00000	0.00108
180.00000	-0.00134
180.00000	0.00092
180.00000	0.00011
180.00000	-0.00037
180.00000	0.00108
180.00000	-0.00005
180.00000	0.00092
180.00000	0.00188
180.00000	0.07147
180.00000	0.07791
180.00000	0.08355
180.00000	0.09241
180.00000	0.09483
180.00000	0.00736
180.00000	-0.00005
180.00000	0.00092
180.00000	-0.00037
180.00000	0.00124
180.00000	-0.00231
180.00000	0.00075
180.00000	0.00011
180.00000	-0.00037
180.00000	0.00172
180.00000	0.08436
180.00000	0.07405
180.00000	0.00172
180.00000	-0.00070
180.00000	-0.00021
180.00000	0.00172
180.00000	-0.00118
180.00000	0.00075
180.00000	-0.00021
180.00000	-0.00070
180.00000	-0.00005
180.00000	-0.00021
180.00000	0.00027
180.00000	-0.00182
180.00000	-0.00005
180.00000	0.00301
180.00000	0.08919
180.00000	0.07018
180.00000	-0.00070
180.00000	0.00140
180.00000	0.00059
180.00000	-0.00053
180.00000	0.00027
180.00000	-0.00086
180.00000	-0.00053
180.00000	0.00075
180.00000	0.00043
180.00000	0.00075
180.00000	0.00059
180.00000	0.00092
180.00000	0.06631
180.00000	0.09547
180.00000	0.05858
180.00000	-0.00053
180.00000	-0.00005
180.00000	-0.00037
180.00000	-0.00005
180.00000	-0.00053
180.00000	-0.00118
180.00000	0.00075
180.00000	-0.00102
180.00000	0.00124
180.00000	-0.00102
180.00000	-0.00118
180.00000	0.00204
180.00000	0.09193
180.00000	0.09338
180.00000	0.09370
180.00000	0.00059
180.00000	-0.00005
180.00000	0.00027
180.00000	0.00043
180.00000	-0.00086
180.00000	0.00124
180.00000	0.09193
180.00000	0.03168
180.00000	-0.00037
180.00000	0.00027
180.00000	0.00092
180.00000	0.00043
180.00000	-0.00070
180.00000	0.00075
180.00000	-0.00150
180.00000	-0.00070
180.00000	-0.00021
180.00000	0.01573
180.00000	0.05907
180.00000	0.00011
180.00000	-0.00070
180.00000	0.00011
180.00000	-0.00037
180.00000	0.00092
180.00000	0.00075
180.00000	-0.00053
180.00000	0.00011
180.00000	-0.00102
180.00000	-0.00053
180.00000	-0.00150
180.00000	0.00027
180.00000	0.06470
180.00000	0.00092
180.00000	-0.00053
180.00000	-0.00053
180.00000	-0.00150
180.00000	0.00108
180.00000	0.00027
180.00000	-0.00102
180.00000	0.01606
180.00000	0.02975
180.00000	0.00156
180.00000	-0.00150
180.00000	-0.00005
180.00000	-0.00247
180.00000	-0.00070
180.00000	-0.00166
180.00000	-0.00102
180.00000	0.00140
180.00000	-0.00086
180.00000	0.00156
180.00000	0.09177
180.00000	0.01654
180.00000	0.00075
180.00000	-0.00070
180.00000	-0.00053
180.00000	0.00092
180.00000	-0.00021
180.00000	-0.00037
180.00000	-0.00086
180.00000	-0.00182
180.00000	0.00140
180.00000	0.02298
180.00000	0.06180
180.00000	0.08629
180.00000	-0.00053
180.00000	-0.00021
180.00000	-0.00037
180.00000	-0.00198
180.00000	0.00011
180.00000	-0.00150
180.00000	-0.00182
180.00000	-0.00102
180.00000	0.00027
180.00000	0.00011
180.00000	0.01847
180.00000	0.08129
