Polarization of Light 'theta' Data File Tue, Oct 23, 2018 9:48 AM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	2.54537
0.00000	2.85723
0.00000	2.86029
0.00000	2.82823
0.00000	2.82195
0.00000	2.87463
0.00000	2.84708
0.00000	2.89154
0.00000	2.86319
0.00000	2.84966
0.00000	2.88735
0.00000	2.88316
0.00000	2.86867
0.00000	2.84595
0.00000	2.88413
0.00000	2.85610
0.00000	2.84853
0.00000	2.89202
0.00000	2.88703
0.00000	2.89798
0.00436	2.85594
0.01745	2.94099
0.02182	2.91297
0.02182	2.93423
0.02618	2.82195
0.03491	2.92972
0.04363	2.93761
0.05672	2.93729
0.06109	2.87141
0.06981	2.91909
0.07418	2.93793
0.07854	2.94293
0.08727	2.92827
0.09163	2.92666
0.10472	2.92778
0.11781	2.89670
0.12654	2.91071
0.13090	2.91570
0.13526	2.91409
0.14835	2.89525
0.15708	2.89138
0.16581	2.87366
0.17453	2.87253
0.18326	2.87060
0.19635	2.86351
0.20508	2.86287
0.21817	2.83516
0.23126	2.84032
0.23562	2.82662
0.24435	2.79988
0.25307	2.78941
0.26180	2.76976
0.27053	2.77620
0.27925	2.75156
0.29234	2.75269
0.30107	2.66586
0.31416	2.71564
0.33161	2.57002
0.34470	2.65153
0.35343	2.58210
0.36216	2.59354
0.37088	2.55584
0.38397	2.58194
0.40143	2.49254
0.41452	2.49624
0.42761	2.47868
0.44942	2.39734
0.46251	2.39846
0.47124	2.38107
0.47997	2.32034
0.48433	2.34998
0.48869	2.33806
0.49742	2.32179
0.50615	2.31325
0.50615	2.30391
0.51487	2.28812
0.52796	2.23142
0.53669	2.21080
0.54105	2.21934
0.55851	2.18164
0.57160	2.13251
0.58469	2.11367
0.60214	2.09708
0.61523	2.03425
0.63268	2.00526
0.64577	1.97014
0.66323	1.90845
0.67632	1.85094
0.68941	1.82388
0.70686	1.76847
0.71995	1.72417
0.73740	1.67955
0.75485	1.64927
0.76794	1.59450
0.78976	1.52700
0.80285	1.48625
0.80721	1.48367
0.81158	1.47369
0.81594	1.44405
0.82467	1.39105
0.82903	1.37768
0.83339	1.41103
0.83339	1.41119
0.85085	1.36351
0.86830	1.31293
0.89012	1.24914
0.91193	1.18696
0.93811	1.11512
0.95557	1.06067
0.95993	1.05713
0.95993	1.03248
0.95993	1.05085
0.95993	1.04682
0.95993	1.03683
0.95993	1.05793
0.95993	1.04891
0.96429	1.04134
0.97302	1.02797
0.99484	0.94727
1.01229	0.93213
1.02102	0.88107
1.02102	0.88348
1.02102	0.88912
1.02974	0.86786
1.03411	0.87124
1.04283	0.83790
1.06029	0.80133
1.07774	0.75832
1.09083	0.72562
1.10392	0.69469
1.11265	0.67118
1.13010	0.63252
1.14755	0.59740
1.16501	0.55504
1.18246	0.52379
1.19119	0.50752
1.19555	0.48480
1.20864	0.46789
1.21737	0.44373
1.23046	0.42375
1.25227	0.38896
1.26973	0.35610
1.28718	0.32662
1.30900	0.29569
1.32209	0.27459
1.33954	0.25043
1.35263	0.23432
1.37445	0.20807
1.40063	0.18245
1.42681	0.15056
1.44862	0.13413
1.45735	0.13139
1.47044	0.11947
1.48353	0.11367
1.49226	0.10642
1.50971	0.10288
1.52280	0.09515
1.54025	0.09628
1.56207	0.08870
1.57952	0.08838
1.58825	0.08887
1.59698	0.09273
1.60134	0.08629
1.61007	0.09015
1.61007	0.09193
1.61007	0.09177
1.61007	0.08935
1.61443	0.08967
1.62316	0.09466
1.62752	0.10095
1.64934	0.10207
1.67552	0.11351
1.70606	0.13075
1.74097	0.16345
1.77151	0.18390
1.78896	0.20984
1.80642	0.22530
1.82823	0.25204
1.84569	0.28152
1.86750	0.30778
1.88932	0.34080
1.91114	0.37833
1.92859	0.39508
1.93732	0.42730
1.95041	0.44647
1.96786	0.46499
1.98531	0.51750
2.01149	0.56277
2.05076	0.64283
2.06822	0.68809
2.09003	0.73996
2.12058	0.80600
2.14675	0.87221
2.17730	0.94614
2.19911	1.00413
2.22093	1.04666
2.22966	1.09788
2.23838	1.12752
2.24711	1.14733
2.27329	1.20597
2.29074	1.25703
2.30383	1.29875
2.31692	1.33451
2.33438	1.39089
2.34747	1.43648
2.36056	1.41376
2.36492	1.48367
2.37801	1.52604
2.39546	1.56873
2.40419	1.60142
2.42164	1.64975
2.43473	1.67874
2.44346	1.70774
2.45219	1.71177
2.46091	1.77491
2.46964	1.76879
2.47837	1.78200
2.48709	1.83725
2.48709	1.82984
2.48709	1.77829
2.48709	1.79182
2.48709	1.81760
2.48709	1.76492
2.50018	1.82436
2.56563	2.02137
2.57000	2.02894
2.57000	2.02459
2.57000	2.03812
2.59618	2.10851
2.63981	2.16264
2.66599	2.27008
2.67908	2.29843
2.68344	2.32920
2.68781	2.34015
2.69217	2.35996
2.71399	2.41151
2.73144	2.44485
2.74889	2.48239
2.77071	2.52362
2.78816	2.51525
2.79689	2.58967
2.80998	2.60562
2.81871	2.64250
2.82743	2.64669
2.84052	2.65910
2.84052	2.66377
2.84489	2.66200
2.84925	2.67150
2.84925	2.68390
2.85361	2.69566
2.87107	2.73706
2.88852	2.77089
2.90161	2.77604
2.91470	2.70968
2.92779	2.81052
2.94524	2.63429
2.96706	2.88816
2.98451	2.90104
3.01506	2.93085
3.04124	2.23802
3.06742	2.96274
3.08923	2.97418
3.11105	2.98529
3.13287	2.97498
3.14596	2.97869
