Polarization of Light 'Brewsters' Data File Thu, Oct 25, 2018 10:15 AM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.00188
180.00000	0.00269
180.00000	0.00220
180.00000	0.00253
180.00000	0.00188
180.00000	0.00269
180.00000	0.00043
180.00000	0.00075
180.00000	0.00398
180.00000	0.00349
180.00000	0.00269
180.00000	0.00559
180.00000	0.01606
180.00000	0.01912
180.00000	0.01590
180.00000	0.01300
180.00000	0.01106
180.00000	0.01203
180.00000	0.01509
180.00000	0.00140
180.00000	-0.00037
180.00000	0.00059
180.00000	0.00172
180.00000	-0.00005
180.00000	0.00011
180.00000	-0.00005
180.00000	-0.00021
180.00000	0.00140
180.00000	-0.00102
180.00000	0.00011
180.00000	-0.00037
180.00000	-0.00037
180.00000	0.00011
180.00000	0.00027
180.00000	-0.00021
180.00000	0.00043
180.00000	0.00059
180.00000	0.00059
180.00000	0.00075
180.00000	-0.00086
180.00000	0.00204
180.00000	0.01364
180.00000	0.01783
180.00000	0.00253
180.00000	0.00140
180.00000	-0.00021
180.00000	0.00027
180.00000	0.00092
180.00000	0.00027
180.00000	0.00027
180.00000	-0.00037
180.00000	0.00059
180.00000	0.00092
180.00000	0.00124
180.00000	0.00075
180.00000	-0.00053
180.00000	0.01509
180.00000	0.01735
180.00000	0.01557
180.00000	0.00156
180.00000	0.00075
180.00000	-0.00070
180.00000	0.00011
180.00000	0.00059
180.00000	-0.00134
180.00000	0.00092
180.00000	-0.00005
180.00000	-0.00005
180.00000	0.00140
180.00000	0.00092
180.00000	0.01412
180.00000	0.01960
180.00000	0.01638
180.00000	0.01767
180.00000	0.02331
180.00000	0.01251
180.00000	0.00575
180.00000	0.00124
180.00000	0.00140
180.00000	-0.00070
180.00000	0.00108
180.00000	0.00156
180.00000	0.01364
180.00000	0.01831
180.00000	0.01686
180.00000	0.01718
180.00000	0.01670
180.00000	0.01751
180.00000	0.00398
180.00000	0.00236
180.00000	0.00108
180.00000	0.00269
180.00000	0.00140
180.00000	0.00027
