Motion Sensor Data File Sep 20	 2018 9:52 AM
Time (s)	Distance (cm)	Dist Error (cm)
0.000	24.675	0.239
0.010	24.904	0.239
0.020	25.112	0.239
0.030	25.315	0.239
0.040	25.492	0.239
0.050	25.657	0.239
0.060	25.813	0.239
0.070	25.973	0.239
0.080	26.103	0.239
0.090	26.203	0.239
0.100	26.282	0.239
0.110	26.322	0.239
0.120	26.357	0.239
0.130	26.350	0.239
0.140	26.321	0.239
0.150	26.267	0.239
0.160	26.199	0.239
0.170	26.101	0.239
0.180	25.978	0.239
0.190	25.837	0.239
0.200	25.688	0.239
0.210	25.512	0.239
0.220	25.312	0.239
0.230	25.098	0.239
0.240	24.880	0.239
0.250	24.640	0.239
0.260	24.392	0.239
0.270	24.144	0.239
0.280	23.896	0.239
0.290	23.635	0.239
0.300	23.374	0.239
0.310	23.112	0.239
0.320	22.868	0.239
0.330	22.616	0.239
0.340	22.372	0.239
0.350	22.137	0.239
0.360	21.927	0.239
0.370	21.718	0.239
0.380	21.525	0.239
0.390	21.342	0.239
0.400	21.184	0.239
0.410	21.056	0.239
0.420	20.933	0.239
0.430	20.835	0.239
0.440	20.759	0.239
0.450	20.721	0.239
0.460	20.692	0.239
0.470	20.689	0.239
0.480	20.712	0.239
0.490	20.765	0.239
0.500	20.830	0.239
0.510	20.918	0.239
0.520	21.026	0.239
0.530	21.169	0.239
0.540	21.317	0.239
0.550	21.486	0.239
0.560	21.667	0.239
0.570	21.888	0.239
0.580	22.104	0.239
0.590	22.333	0.239
0.600	22.571	0.239
0.610	22.830	0.239
0.620	23.081	0.239
0.630	23.335	0.239
0.640	23.590	0.239
0.650	23.850	0.239
0.660	24.113	0.239
0.670	24.359	0.239
0.680	24.601	0.239
0.690	24.835	0.239
0.700	25.068	0.239
0.710	25.275	0.239
0.720	25.470	0.239
0.730	25.643	0.239
0.740	25.816	0.239
0.750	25.960	0.239
0.760	26.081	0.239
0.770	26.181	0.239
0.780	26.273	0.239
0.790	26.325	0.239
0.800	26.353	0.239
0.810	26.358	0.239
0.820	26.351	0.239
0.830	26.304	0.239
0.840	26.237	0.239
0.850	26.148	0.239
0.860	26.050	0.239
0.870	25.923	0.239
0.880	25.773	0.239
0.890	25.602	0.239
0.900	25.419	0.239
0.910	25.213	0.239
0.920	24.983	0.239
0.930	24.730	0.239
0.940	24.486	0.239
0.950	24.242	0.239
0.960	23.985	0.239
0.970	23.733	0.239
0.980	23.476	0.239
0.990	23.223	0.239
1.000	22.958	0.239
1.010	22.697	0.239
1.020	22.440	0.239
1.030	22.197	0.239
1.040	21.953	0.239
1.050	21.709	0.239
1.060	21.499	0.239
1.070	21.316	0.239
1.080	21.149	0.239
1.090	20.996	0.239
1.100	20.876	0.239
1.110	20.791	0.239
1.120	20.711	0.239
1.130	20.652	0.239
1.140	20.615	0.239
1.150	20.607	0.239
1.160	20.604	0.239
1.170	20.622	0.239
1.180	20.671	0.239
1.190	20.745	0.239
1.200	20.858	0.239
1.210	20.984	0.239
1.220	21.140	0.239
1.230	21.313	0.239
1.240	21.525	0.239
1.250	21.724	0.239
1.260	21.936	0.239
1.270	22.156	0.239
1.280	22.403	0.239
1.290	22.645	0.239
1.300	22.900	0.239
1.310	23.154	0.239
1.320	23.426	0.239
1.330	23.686	0.239
1.340	23.945	0.239
1.350	24.195	0.239
1.360	24.450	0.239
1.370	24.688	0.239
1.380	24.917	0.239
1.390	25.133	0.239
1.400	25.354	0.239
1.410	25.544	0.239
1.420	25.713	0.239
1.430	25.869	0.239
1.440	26.012	0.239
1.450	26.125	0.239
1.460	26.216	0.239
1.470	26.286	0.239
1.480	26.331	0.239
1.490	26.366	0.239
1.500	26.363	0.239
1.510	26.338	0.239
1.520	26.292	0.239
1.530	26.233	0.239
1.540	26.136	0.239
1.550	26.016	0.239
1.560	25.880	0.239
1.570	25.731	0.239
1.580	25.560	0.239
1.590	25.364	0.239
1.600	25.158	0.239
1.610	24.949	0.239
1.620	24.718	0.239
1.630	24.478	0.239
1.640	24.226	0.239
1.650	23.982	0.239
1.660	23.725	0.239
1.670	23.464	0.239
1.680	23.198	0.239
1.690	22.950	0.239
1.700	22.694	0.239
1.710	22.446	0.239
1.720	22.210	0.239
1.730	21.983	0.239
1.740	21.787	0.239
1.750	21.590	0.239
1.760	21.407	0.239
1.770	21.244	0.239
1.780	21.112	0.239
1.790	20.984	0.239
1.800	20.883	0.239
1.810	20.798	0.239
1.820	20.751	0.239
1.830	20.714	0.239
1.840	20.702	0.239
1.850	20.712	0.239
1.860	20.761	0.239
1.870	20.818	0.239
1.880	20.896	0.239
1.890	20.996	0.239
1.900	21.135	0.239
1.910	21.278	0.239
1.920	21.439	0.239
1.930	21.616	0.239
1.940	21.828	0.239
1.950	22.035	0.239
1.960	22.256	0.239
1.970	22.489	0.239
1.980	22.744	0.239
1.990	22.990	0.239
2.000	23.245	0.239
2.010	23.505	0.239
2.020	23.751	0.239
2.030	24.006	0.239
2.040	24.256	0.239
2.050	24.481	0.239
2.060	24.706	0.239
2.070	24.943	0.239
2.080	25.147	0.239
2.090	25.341	0.239
2.100	25.532	0.239
2.110	25.714	0.239
2.120	25.861	0.239
2.130	25.982	0.239
2.140	26.074	0.239
2.150	26.166	0.239
2.160	26.218	0.239
2.170	26.241	0.239
2.180	26.233	0.239
2.190	26.226	0.239
2.200	26.189	0.239
2.210	26.126	0.239
2.220	26.045	0.239
2.230	25.956	0.239
2.240	25.837	0.239
2.250	25.696	0.239
2.260	25.542	0.239
2.270	25.371	0.239
2.280	25.196	0.239
2.290	24.987	0.239
2.300	24.760	0.239
2.310	24.521	0.239
2.320	24.277	0.239
2.330	24.015	0.239
2.340	23.754	0.239
2.350	23.489	0.239
2.360	23.237	0.239
2.370	22.980	0.239
2.380	22.736	0.239
2.390	22.505	0.239
2.400	22.287	0.239
2.410	22.073	0.239
2.420	21.872	0.239
2.430	21.676	0.239
2.440	21.500	0.239
2.450	21.330	0.239
2.460	21.176	0.239
2.470	21.036	0.239
2.480	20.934	0.239
2.490	20.844	0.239
2.500	20.777	0.239
2.510	20.726	0.239
2.520	20.711	0.239
2.530	20.708	0.239
2.540	20.730	0.239
2.550	20.778	0.239
2.560	20.844	0.239
2.570	20.944	0.239
2.580	21.057	0.239
2.590	21.192	0.239
2.600	21.343	0.239
2.610	21.525	0.239
2.620	21.711	0.239
2.630	21.915	0.239
2.640	22.131	0.239
2.650	22.369	0.239
2.660	22.606	0.239
2.670	22.852	0.239
2.680	23.099	0.239
2.690	23.366	0.239
2.700	23.617	0.239
2.710	23.876	0.239
2.720	24.127	0.239
2.730	24.386	0.239
2.740	24.624	0.239
2.750	24.857	0.239
2.760	25.078	0.239
2.770	25.298	0.239
2.780	25.488	0.239
2.790	25.662	0.239
2.800	25.817	0.239
2.810	25.956	0.239
2.820	26.082	0.239
2.830	26.182	0.239
2.840	26.256	0.239
2.850	26.305	0.239
2.860	26.345	0.239
2.870	26.350	0.239
2.880	26.334	0.239
2.890	26.292	0.239
2.900	26.242	0.239
2.910	26.157	0.239
2.920	26.047	0.239
2.930	25.919	0.239
2.940	25.778	0.239
2.950	25.612	0.239
2.960	25.424	0.239
2.970	25.219	0.239
2.980	25.014	0.239
2.990	24.786	0.239
3.000	24.547	0.239
3.010	24.299	0.239
3.020	24.059	0.239
3.030	23.803	0.239
3.040	23.542	0.239
3.050	23.280	0.239
3.060	23.032	0.239
3.070	22.780	0.239
3.080	22.532	0.239
3.090	22.288	0.239
3.100	22.057	0.239
3.110	21.856	0.239
3.120	21.650	0.239
3.130	21.463	0.239
3.140	21.288	0.239
3.150	21.151	0.239
3.160	21.015	0.239
3.170	20.904	0.239
3.180	20.815	0.239
3.190	20.760	0.239
3.200	20.719	0.239
3.210	20.689	0.239
3.220	20.686	0.239
3.230	20.722	0.239
3.240	20.771	0.239
3.250	20.841	0.239
3.260	20.932	0.239
3.270	21.062	0.239
3.280	21.193	0.239
3.290	21.340	0.239
3.300	21.500	0.239
3.310	21.686	0.239
3.320	21.885	0.239
3.330	22.080	0.239
3.340	22.300	0.239
3.350	22.534	0.239
3.360	22.797	0.239
3.370	23.048	0.239
3.380	23.307	0.239
3.390	23.575	0.239
3.400	23.856	0.239
3.410	24.110	0.239
3.420	24.352	0.239
3.430	24.590	0.239
3.440	24.827	0.239
3.450	25.031	0.239
3.460	25.221	0.239
3.470	25.399	0.239
3.480	25.580	0.239
3.490	25.728	0.239
3.500	25.867	0.239
3.510	25.980	0.239
3.520	26.092	0.239
3.530	26.184	0.239
3.540	26.245	0.239
3.550	26.273	0.239
3.560	26.299	0.239
3.570	26.283	0.239
3.580	26.233	0.239
3.590	26.161	0.239
3.600	26.081	0.239
3.610	25.970	0.239
3.620	25.834	0.239
3.630	25.684	0.239
3.640	25.514	0.239
3.650	25.339	0.239
3.660	25.129	0.239
3.670	24.906	0.239
3.680	24.680	0.239
3.690	24.458	0.239
3.700	24.205	0.239
3.710	23.948	0.239
3.720	23.687	0.239
3.730	23.443	0.239
3.740	23.186	0.239
3.750	22.930	0.239
3.760	22.677	0.239
3.770	22.451	0.239
3.780	22.215	0.239
3.790	21.988	0.239
3.800	21.779	0.239
3.810	21.600	0.239
3.820	21.416	0.239
3.830	21.258	0.239
3.840	21.113	0.239
3.850	21.002	0.239
3.860	20.901	0.239
3.870	20.820	0.239
3.880	20.761	0.239
3.890	20.728	0.239
3.900	20.729	0.239
3.910	20.743	0.239
3.920	20.779	0.239
3.930	20.836	0.239
3.940	20.932	0.239
3.950	21.032	0.239
3.960	21.158	0.239
3.970	21.296	0.239
3.980	21.469	0.239
3.990	21.647	0.239
4.000	21.846	0.239
4.010	22.053	0.239
4.020	22.291	0.239
4.030	22.525	0.239
4.040	22.767	0.239
4.050	23.013	0.239
4.060	23.276	0.239
4.070	23.531	0.239
4.080	23.786	0.239
4.090	24.032	0.239
4.100	24.292	0.239
4.110	24.534	0.239
4.120	24.762	0.239
4.130	24.983	0.239
4.140	25.208	0.239
4.150	25.402	0.239
4.160	25.584	0.239
4.170	25.745	0.239
4.180	25.892	0.239
4.190	26.026	0.239
4.200	26.131	0.239
4.210	26.214	0.239
